Days_to_Flowering;Days_to_Maturity;First_Pod_Height_cm;Branch_Number;Plant_Height_cm;Biological_Yield_g;Pod_Number;Pod_Weight_g;Pod_Length_cm;Seeds_per_Pod;Seeds_per_Plant;Single_Plant_Yield_g;Plot_Yield_kg_da;Seed_Weight_100_g;Pod_Filling_Rate;Seed_to_Pod_Ratio;Seed_Unit_Weight;Pod_Length_Yield_Index;Plant_Yield_Ratio;Vegetation_Period_days
45;107;23.8;2.8;70.4;31.7;8.0;18.549999999999997;6.26;2.8000000000000003;17.8;14.879999999999999;217.14;116.77;2.31585518102372;2.2222222222222223;1.0415496911847273;2.9585326953748003;3.957553058676654;62
49;105;29.6;3.8;58.0;32.69;4.800000000000001;12.5;8.2;2.4;8.4;9.15;56.4;82.42;2.5987525987525983;1.7463617463617462;1.4863258026159334;1.5225334957369063;6.7962577962577955;56
47;104;23.4;3.1999999999999993;51.40000000000001;17.68;4.8;10.440000000000001;6.199999999999999;1.8401899999999998;8.0;8.11;32.05;101.65;2.170478170478171;1.6632016632016633;1.3033707865168542;1.6811594202898554;3.675675675675676;57
47;107;31.4;3.8;68.0;38.25;4.2;7.769999999999999;6.300000000000001;1.84686;4.6;5.049999999999999;53.77;119.88;1.8456057007125888;1.0926365795724464;1.6854663774403469;1.2313787638668776;9.085510688836104;60
49;109;34.8;3.0;71.8;44.55;2.8;10.59;8.7;2.8;5.6000000000000005;6.9300000000000015;55.42;100.21;3.768683274021353;1.9928825622775805;1.887700534759358;1.2158438576349024;15.854092526690392;60
50;107;30.6;3.0;60.4;28.74;2.8;8.11;5.9;2.0;5.3999999999999995;5.8;54.43;146.51;2.8861209964412815;1.9217081850533808;1.4990757855822552;1.3722504230118442;10.227758007117439;57
51;106;25.8;3.0;59.2;18.44;4.3999999999999995;7.029999999999999;6.1;1.72857;5.800000000000001;5.35;63.03;130.62;1.5941043083900228;1.3151927437641726;1.209982788296041;1.1505728314238952;4.181405895691611;55
49;107;25.4;3.0;59.0;23.0;3.3999999999999995;2.83;5.0;1.30831;3.0;1.02;44.95;126.85;0.8299120234604107;0.8797653958944284;0.9401993355481728;0.564870259481038;6.744868035190617;58
46;107;33.8;3.4;74.8;68.87;9.0;28.830000000000002;8.100000000000001;2.2;15.4;19.580000000000002;100.77;112.74;3.199778024417314;1.709211986681465;1.8708630759247242;3.5548705302096173;7.6437291897891235;61
45;106;21.800000000000004;2.8;62.2;28.75;5.6;17.939999999999998;7.859999999999999;2.8;12.8;14.190000000000001;208.08;96.25;3.197860962566845;2.2816399286987528;1.4004683840749412;2.2795425667090217;5.124777183600713;61
